Ref,Val,Package,PosX,PosY,Rot,Side
"RGB1","WS2812B","WS2812-2020",-236.474000,-79.375000,180.000000,bottom
"RGB2","WS2812B","WS2812-2020",-179.070000,-79.375000,180.000000,bottom
"RGB3","WS2812B","WS2812-2020",-122.682000,-79.375000,180.000000,bottom
"RGB4","WS2812B","WS2812-2020",-59.055000,-79.375000,180.000000,bottom
"RGB5","WS2812B","WS2812-2020",-59.055000,-117.475000,0.000000,bottom
"RGB6","WS2812B","WS2812-2020",-123.952000,-116.332000,0.000000,bottom
"RGB7","WS2812B","WS2812-2020",-174.244000,-116.332000,0.000000,bottom
"RGB8","WS2812B","WS2812-2020",-236.474000,-117.475000,0.000000,bottom
"U1","ATmega32U2-A","TQFP-32_7x7mm_P0.8mm",-142.849292,-98.602800,180.000000,bottom
"U2","SRV05-4","SOT-23-6",-147.624800,-69.697600,180.000000,bottom
"USB1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",-147.675600,-59.639200,0.000000,bottom
"X1","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm",-151.054004,-96.307644,-90.000000,bottom
"MX1","MX-NoLED","MXOnly-1U-NoLED",42.862500,-69.850000,0.000000,top
"MX2","MX-NoLED","MXOnly-1U-NoLED",61.912500,-69.850000,0.000000,top
"MX3","MX-NoLED","MXOnly-1U-NoLED",80.962500,-69.850000,0.000000,top
"MX4","MX-NoLED","MXOnly-1U-NoLED",100.012500,-69.850000,0.000000,top
"MX5","MX-NoLED","MXOnly-1U-NoLED",119.062500,-69.850000,0.000000,top
"MX6","MX-NoLED","MXOnly-1U-NoLED",138.112500,-69.850000,0.000000,top
"MX7","MX-NoLED","MXOnly-1U-NoLED",157.162500,-69.850000,0.000000,top
"MX8","MX-NoLED","MXOnly-1U-NoLED",176.212500,-69.850000,0.000000,top
"MX9","MX-NoLED","MXOnly-1U-NoLED",195.262500,-69.850000,0.000000,top
"MX10","MX-NoLED","MXOnly-1U-NoLED",214.312500,-69.850000,0.000000,top
"MX11","MX-NoLED","MXOnly-1U-NoLED",233.362500,-69.850000,0.000000,top
"MX12","MX-NoLED","MXOnly-1.25U-NoLED",45.243750,-88.900000,0.000000,top
"MX13","MX-NoLED","MXOnly-1U-NoLED",66.675000,-88.900000,0.000000,top
"MX14","MX-NoLED","MXOnly-1U-NoLED",85.725000,-88.900000,0.000000,top
"MX15","MX-NoLED","MXOnly-1U-NoLED",104.775000,-88.900000,0.000000,top
"MX16","MX-NoLED","MXOnly-1U-NoLED",123.825000,-88.900000,0.000000,top
"MX17","MX-NoLED","MXOnly-1U-NoLED",142.875000,-88.900000,0.000000,top
"MX18","MX-NoLED","MXOnly-1U-NoLED",161.925000,-88.900000,0.000000,top
"MX19","MX-NoLED","MXOnly-1U-NoLED",180.975000,-88.900000,0.000000,top
"MX20","MX-NoLED","MXOnly-1U-NoLED",200.025000,-88.900000,0.000000,top
"MX21","MX-NoLED","MXOnly-1U-NoLED",219.075000,-88.900000,0.000000,top
"MX22","MX-NoLED","MXOnly-1.75U-NoLED",245.268750,-88.900000,0.000000,top
"MX23","MX-NoLED","MXOnly-1.75U-NoLED",50.006250,-107.950000,0.000000,top
"MX24","MX-NoLED","MXOnly-1U-NoLED",76.200000,-107.950000,0.000000,top
"MX25","MX-NoLED","MXOnly-1U-NoLED",95.250000,-107.950000,0.000000,top
"MX26","MX-NoLED","MXOnly-1U-NoLED",114.300000,-107.950000,0.000000,top
"MX27","MX-NoLED","MXOnly-1U-NoLED",133.350000,-107.950000,0.000000,top
"MX28","MX-NoLED","MXOnly-1U-NoLED",152.400000,-107.950000,0.000000,top
"MX29","MX-NoLED","MXOnly-1U-NoLED",171.450000,-107.950000,0.000000,top
"MX30","MX-NoLED","MXOnly-1U-NoLED",190.500000,-107.950000,0.000000,top
"MX31","MX-NoLED","MXOnly-1U-NoLED",209.550000,-107.950000,0.000000,top
"MX32","MX-NoLED","MXOnly-1U-NoLED",228.600000,-107.950000,0.000000,top
"MX33","MX-NoLED","MXOnly-1.25U-NoLED",250.031250,-107.950000,0.000000,top
"MX34","MX-NoLED","MXOnly-1.25U-NoLED",45.243750,-127.000000,0.000000,top
"MX35","MX-NoLED","MXOnly-1U-NoLED",66.675000,-127.000000,0.000000,top
"MX36","MX-NoLED","MXOnly-1.25U-NoLED",88.106250,-127.000000,0.000000,top
"MX37","MX-NoLED","MXOnly-3U-ReversedStabilizers-NoLED",128.587500,-127.000000,0.000000,top
"MX39","MX-NoLED","MXOnly-2U-ReversedStabilizers-NoLED",176.212500,-127.000000,0.000000,top
"MX40","MX-NoLED","MXOnly-1.25U-NoLED",207.168750,-127.000000,0.000000,top
"MX41","MX-NoLED","MXOnly-1U-NoLED",228.600000,-127.000000,0.000000,top
"MX42","MX-NoLED","MXOnly-1.25U-NoLED",250.031250,-127.000000,0.000000,top
"MX43","MX-NoLED","MXOnly-1U-NoLED",252.412500,-69.850000,0.000000,top
"MX44","MX-NoLED","MXOnly-2.75U-ReversedStabilizers-NoLED",126.206250,-127.000000,0.000000,top
"MX45","MX-NoLED","MXOnly-2.25U-ReversedStabilizers-NoLED",173.831250,-127.000000,0.000000,top
"MX46","MX-NoLED","MXOnly-2.25U-ReversedStabilizers-NoLED",121.443750,-127.000000,0.000000,top
"MX47","MX-NoLED","MXOnly-2.75U-ReversedStabilizers-NoLED",169.068750,-127.000000,0.000000,top
"MX48","MX-NoLED","MXOnly-1.5U-NoLED",47.625000,-127.000000,0.000000,top
"MX49","MX-NoLED","MXOnly-1.25U-NoLED",69.056250,-127.000000,0.000000,top
"MX50","MX-NoLED","MXOnly-1U-NoLED",71.437500,-127.000000,0.000000,top
"MX51","MX-NoLED","MXOnly-1U-NoLED",90.487500,-127.000000,0.000000,top
"MX52","MX-NoLED","MXOnly-1U-NoLED",204.787500,-127.000000,0.000000,top
"MX53","MX-NoLED","MXOnly-1.25U-NoLED",226.218750,-127.000000,0.000000,top
"MX54","MX-NoLED","MXOnly-1U-NoLED",223.837500,-127.000000,0.000000,top
"MX55","MX-NoLED","MXOnly-1.5U-NoLED",247.650000,-127.000000,0.000000,top
